[2026-01-29 11:51:22] Location: East | Severity: HIGH
[2026-01-29 11:51:27] Location: South | Severity: CRITICAL
[2026-01-29 11:51:32] Location: East | Severity: LOW
[2026-01-29 11:51:37] Location: North | Severity: CRITICAL
[2026-01-29 11:51:42] Location: South | Severity: MEDIUM
[2026-01-29 11:51:47] Location: West | Severity: CRITICAL
[2026-01-29 11:51:52] Location: North | Severity: HIGH
[2026-01-29 11:51:57] Location: West | Severity: CRITICAL
[2026-01-29 11:52:00] Location: North | Severity: MEDIUM
[2026-01-29 11:52:02] Location: North | Severity: CRITICAL
[2026-01-29 11:52:05] Location: East | Severity: CRITICAL
[2026-01-29 11:52:07] Location: West | Severity: LOW
[2026-01-29 11:52:10] Location: North | Severity: LOW
[2026-01-29 11:52:12] Location: North | Severity: CRITICAL
[2026-01-29 11:52:15] Location: West | Severity: LOW
[2026-01-29 11:52:17] Location: North | Severity: LOW
[2026-01-29 11:52:20] Location: South | Severity: MEDIUM
[2026-01-29 11:52:22] Location: North | Severity: LOW
[2026-01-29 11:52:25] Location: East | Severity: MEDIUM
[2026-01-29 11:52:27] Location: West | Severity: LOW
[2026-01-29 11:52:30] Location: West | Severity: CRITICAL
[2026-01-29 11:52:32] Location: North | Severity: MEDIUM
[2026-01-29 11:52:35] Location: North | Severity: HIGH
[2026-01-29 11:52:37] Location: West | Severity: HIGH
[2026-01-29 11:52:40] Location: East | Severity: MEDIUM
[2026-01-29 11:52:42] Location: North | Severity: CRITICAL
[2026-01-29 11:52:45] Location: East | Severity: MEDIUM
[2026-01-29 11:52:47] Location: South | Severity: HIGH
[2026-01-29 11:52:50] Location: North | Severity: HIGH
[2026-01-29 11:52:52] Location: East | Severity: CRITICAL
[2026-01-29 11:52:55] Location: South | Severity: MEDIUM
[2026-01-29 11:52:57] Location: North | Severity: MEDIUM
[2026-01-29 11:53:00] Location: West | Severity: HIGH
[2026-01-29 11:53:02] Location: East | Severity: CRITICAL
[2026-01-29 11:53:05] Location: East | Severity: HIGH
[2026-01-29 11:53:07] Location: South | Severity: CRITICAL
[2026-01-29 11:53:10] Location: East | Severity: CRITICAL
[2026-01-29 11:53:12] Location: West | Severity: HIGH
[2026-01-29 11:53:15] Location: East | Severity: MEDIUM
[2026-01-29 11:53:17] Location: East | Severity: MEDIUM
[2026-01-29 11:53:20] Location: West | Severity: LOW
[2026-01-29 11:53:22] Location: North | Severity: MEDIUM
[2026-01-29 11:53:25] Location: South | Severity: LOW
[2026-01-29 11:53:27] Location: North | Severity: LOW
[2026-01-29 11:53:30] Location: South | Severity: CRITICAL
[2026-01-29 11:53:32] Location: South | Severity: LOW
[2026-01-29 11:53:35] Location: West | Severity: HIGH
[2026-01-29 11:53:37] Location: South | Severity: CRITICAL
[2026-01-29 11:53:40] Location: North | Severity: CRITICAL
[2026-01-29 11:53:42] Location: South | Severity: MEDIUM
[2026-01-29 11:53:45] Location: North | Severity: LOW
[2026-01-29 11:53:47] Location: South | Severity: LOW
[2026-01-29 11:53:50] Location: South | Severity: LOW
[2026-01-29 11:53:52] Location: East | Severity: LOW
[2026-01-29 11:53:55] Location: North | Severity: CRITICAL
[2026-01-29 11:53:57] Location: East | Severity: HIGH
[2026-01-29 11:54:00] Location: East | Severity: LOW
[2026-01-29 11:54:02] Location: South | Severity: MEDIUM
[2026-01-29 11:54:05] Location: South | Severity: MEDIUM
[2026-01-29 11:54:07] Location: East | Severity: HIGH
[2026-01-29 11:54:10] Location: East | Severity: HIGH
[2026-01-29 11:54:12] Location: South | Severity: CRITICAL
[2026-01-29 11:54:15] Location: North | Severity: CRITICAL
[2026-01-29 11:54:17] Location: West | Severity: LOW
[2026-01-29 11:54:20] Location: South | Severity: HIGH
[2026-01-29 11:54:22] Location: East | Severity: CRITICAL
[2026-01-29 11:54:25] Location: South | Severity: HIGH
[2026-01-29 11:54:27] Location: South | Severity: LOW
[2026-01-29 11:54:30] Location: North | Severity: MEDIUM
[2026-01-29 11:54:32] Location: East | Severity: MEDIUM
[2026-01-29 11:54:35] Location: North | Severity: LOW
[2026-01-29 11:54:37] Location: West | Severity: CRITICAL
[2026-01-29 11:54:40] Location: North | Severity: LOW
[2026-01-29 11:54:42] Location: South | Severity: LOW
[2026-01-29 11:54:45] Location: South | Severity: CRITICAL
[2026-01-29 11:54:47] Location: North | Severity: HIGH
[2026-01-29 11:54:50] Location: North | Severity: CRITICAL
[2026-01-29 11:54:52] Location: West | Severity: LOW
[2026-01-29 11:54:55] Location: West | Severity: LOW
[2026-01-29 11:54:57] Location: North | Severity: MEDIUM
[2026-01-29 11:55:00] Location: South | Severity: CRITICAL
[2026-01-29 11:55:02] Location: South | Severity: HIGH
[2026-01-29 11:55:05] Location: North | Severity: LOW
[2026-01-29 11:55:07] Location: South | Severity: HIGH
[2026-01-29 11:55:10] Location: South | Severity: LOW
[2026-01-29 11:55:12] Location: North | Severity: CRITICAL
[2026-01-29 11:55:15] Location: South | Severity: LOW
[2026-01-29 11:55:17] Location: East | Severity: CRITICAL
[2026-01-29 11:55:20] Location: West | Severity: HIGH
[2026-01-29 11:55:22] Location: North | Severity: LOW
[2026-01-29 11:55:25] Location: South | Severity: LOW
[2026-01-29 11:55:27] Location: South | Severity: LOW
[2026-01-29 11:55:30] Location: South | Severity: HIGH
[2026-01-29 11:55:32] Location: East | Severity: HIGH
[2026-01-29 11:55:35] Location: East | Severity: LOW
[2026-01-29 11:55:37] Location: North | Severity: HIGH
[2026-01-29 11:55:40] Location: East | Severity: MEDIUM
[2026-01-29 11:55:42] Location: South | Severity: MEDIUM
[2026-01-29 11:55:45] Location: North | Severity: LOW
[2026-01-29 11:55:47] Location: South | Severity: LOW
[2026-01-29 11:55:50] Location: East | Severity: MEDIUM
[2026-01-29 11:55:52] Location: South | Severity: MEDIUM
[2026-01-29 11:55:55] Location: East | Severity: HIGH
[2026-01-29 11:55:57] Location: West | Severity: HIGH
[2026-01-29 11:56:00] Location: West | Severity: HIGH
[2026-01-29 11:56:02] Location: South | Severity: HIGH
[2026-01-29 11:56:05] Location: North | Severity: MEDIUM
[2026-01-29 11:56:07] Location: West | Severity: CRITICAL
[2026-01-29 11:56:10] Location: West | Severity: CRITICAL
[2026-01-29 11:56:12] Location: North | Severity: HIGH
[2026-01-29 11:56:15] Location: East | Severity: HIGH
[2026-01-29 11:56:17] Location: North | Severity: HIGH
[2026-01-29 11:56:20] Location: North | Severity: LOW
[2026-01-29 11:56:22] Location: North | Severity: CRITICAL
[2026-01-29 11:56:25] Location: North | Severity: HIGH
[2026-01-29 11:56:27] Location: South | Severity: CRITICAL
[2026-01-29 11:56:30] Location: West | Severity: HIGH
[2026-01-29 11:56:32] Location: East | Severity: LOW
[2026-01-29 11:56:35] Location: South | Severity: LOW
[2026-01-29 11:56:37] Location: East | Severity: CRITICAL
[2026-01-29 11:56:40] Location: West | Severity: HIGH
[2026-01-29 11:56:42] Location: North | Severity: MEDIUM
[2026-01-29 11:56:45] Location: East | Severity: HIGH
[2026-01-29 11:56:47] Location: West | Severity: MEDIUM
[2026-01-29 11:56:50] Location: East | Severity: HIGH
[2026-01-29 11:56:52] Location: North | Severity: HIGH
[2026-01-29 11:56:55] Location: South | Severity: HIGH
[2026-01-29 11:56:57] Location: North | Severity: CRITICAL
[2026-01-29 11:57:00] Location: West | Severity: LOW
[2026-01-29 11:57:02] Location: West | Severity: CRITICAL
[2026-01-29 11:57:05] Location: West | Severity: MEDIUM
[2026-01-29 11:57:07] Location: West | Severity: MEDIUM
[2026-01-29 11:57:10] Location: North | Severity: HIGH
[2026-01-29 11:57:12] Location: East | Severity: MEDIUM
[2026-01-29 11:57:15] Location: South | Severity: MEDIUM
[2026-01-29 11:57:17] Location: West | Severity: HIGH
[2026-01-29 11:57:20] Location: West | Severity: MEDIUM
[2026-01-29 11:57:22] Location: North | Severity: MEDIUM
[2026-01-29 11:57:25] Location: West | Severity: MEDIUM
[2026-01-29 11:57:27] Location: South | Severity: MEDIUM
[2026-01-29 11:57:30] Location: West | Severity: MEDIUM
[2026-01-29 11:57:32] Location: South | Severity: LOW
[2026-01-29 11:57:35] Location: West | Severity: HIGH
[2026-01-29 11:57:37] Location: West | Severity: CRITICAL
[2026-01-29 11:57:40] Location: South | Severity: MEDIUM
[2026-01-29 11:57:42] Location: East | Severity: CRITICAL
[2026-01-29 11:57:45] Location: West | Severity: HIGH
[2026-01-29 11:57:47] Location: North | Severity: HIGH
[2026-01-29 11:57:50] Location: West | Severity: LOW
[2026-01-29 11:57:52] Location: West | Severity: LOW
[2026-01-29 11:57:55] Location: East | Severity: CRITICAL
[2026-01-29 11:57:57] Location: West | Severity: HIGH
[2026-01-29 11:58:00] Location: South | Severity: CRITICAL
